City-State,Final-Score
Brookings-South-Dakota,100
Mitchell-South-Dakota,12
Pierre-South-Dakota,0
Rapid-City-South-Dakota,19
Sioux-Falls-South-Dakota,52
Spearfish-South-Dakota,7
Vermillion-South-Dakota,52
Watertown-South-Dakota,29
Chattanooga-Tennessee,50
Clarksville-Tennessee,37
Franklin-Tennessee,19
Johnson-City-Tennessee,12
Knoxville-Tennessee,60
Memphis-Tennessee,48
Murfreesboro-Tennessee,12
Nashville-Tennessee,78
Amarillo-Texas,43
Arlington-Texas,100
Austin-Texas,100
Brownsville-Texas,46
College-Station-Texas,22
Corpus-Christi-Texas,58
Dallas-Texas,100
Denton-Texas,78
El-Paso-Texas,63
Fort-Worth-Texas,100
Garland-Texas,24
Grand-Prairie-Texas,36
Houston-Texas,76
Irving-Texas,47
Irving-Texas,47
Killeen-Texas,17
Laredo-Texas,22
Lubbock-Texas,36
Mcallen-Texas,17
Mckinney-Texas,36
Mesquite-Texas,39
Pasadena-Texas,24
Plano-Texas,64
Round-Rock-Texas,22
San-Antonio-Texas,100
Waco-Texas,56
Logan-Utah,48
Ogden-City-Utah,58
Orem-Utah,22
Park-City-Utah,70
Provo-Utah,40
Salt-Lake-City-Utah,100
West-Jordan-Utah,36
West-Valley-City-Utah,48
Barre-Vermont,44
Brattleboro-Vermont,58
Burlington-Vermont,92
Castleton-Vermont,46
Essex-Vermont,58
Montpelier-Vermont,64
Rutland-Vermont,59
South-Burlington-Vermont,59
Winooski-Vermont,60
Alexandria-Virginia,100
Arlington-County-Virginia,100
Charlottesville-Virginia,79
Chesapeake-Virginia,80
Fairfax-County-Virginia,100
Hampton-Virginia,81
Newport-News-Virginia,70
Norfolk-Virginia,91
Richmond-Virginia,100
Roanoke-Virginia,65
Virginia-Beach-Virginia,100
Bellevue-Washington,100
Bellingham-Washington,64
Kent-Washington,80
Olympia-Washington,100
Port-Townsend-Washington,78
Pullman-Washington,56
Seattle-Washington,100
Spokane-Washington,67
Tacoma-Washington,96
Vancouver-Washington,76
Vashon-Washington,94
Charles-Town-West-Virginia,45
Charleston-West-Virginia,94
Huntington-West-Virginia,100
Lewisburg-West-Virginia,45
Morgantown-West-Virginia,100
Parkersburg-West-Virginia,13
Wheeling-West-Virginia,59
Appleton-Wisconsin,94
Green-Bay-Wisconsin,84
Kenosha-Wisconsin,39
Madison-Wisconsin,100
Milwaukee-Wisconsin,100
Oshkosh-Wisconsin,75
Racine-Wisconsin,86
Casper-Wyoming,11
Cheyenne-Wyoming,16
Gillette-Wyoming,22
Jackson-Wyoming,62
Laramie-Wyoming,72
Rock-Springs-Wyoming,0
Sheridan-Wyoming,12
