City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
Avondale-Estates-Georgia,42.8,49.2,33.77,84.26,98.7,37.2,3.4,3129.0,52.01584638087103,19.77271052026831,18
Columbus-Georgia,48.6,32.6,32.49,84.94,79.0,8.0,18.2,185888.0,37.92716644284699,34.4250467388156,58
Decatur-Georgia,43.8,37.3,33.77,84.3,96.3,39.8,8.4,25696.0,52.01584638087103,19.77271052026831,86
North-Druid-Hills-Georgia,47.5,34.2,33.82,84.33,97.3,34.2,12.2,18947.0,52.01584638087103,19.77271052026831,7
Roswell-Georgia,49.6,39.3,34.03,84.34,94.2,23.3,5.9,94763.0,34.2002496249651,22.204347037360105,5
Sandy-Springs-Georgia,47.2,37.3,33.94,84.37,95.5,31.0,3.9,109452.0,34.2002496249651,22.204347037360105,33
Hilo-Hawaii,48.3,40.8,19.71,155.09,93.9,11.1,17.1,43263.0,50.547603996131386,8.808130582075762,52
Honolulu-Hawaii,49.1,39.7,21.31,157.83,83.4,10.7,9.7,374701.0,60.705282273420146,9.684150452105367,60
Kapaa-Hawaii,45.1,41.1,22.09,159.34,95.2,10.1,10.4,10699.0,60.48054135428001,8.533186269395298,32
Kahului-Hawaii,51.6,38.0,20.88,156.47,85.3,4.2,8.6,26337.0,55.19265794334578,10.287146234031287,77
Idaho-Falls-Idaho,50.9,33.8,43.49,112.03,91.5,10.5,13.4,62888.0,26.988314753343438,6.606289694341577,58
Meridian-Idaho,49.4,35.8,43.61,116.4,95.6,12.6,8.5,114161.0,56.971442406942515,13.285078944350287,54
Moscow-Idaho,51.5,25.3,46.73,117.0,97.0,24.6,24.3,25702.0,70.4569863602191,6.771560519815273,69
Nampa-Idaho,49.8,33.0,43.57,116.56,88.4,6.0,7.8,99277.0,59.16643288535541,13.558433859297173,18
Pocatello-Idaho,50.3,33.2,42.88,112.45,92.8,9.8,18.5,56637.0,32.887890969229474,5.589154866669081,61
Aurora-Illinois,50.1,35.3,41.76,88.3,79.7,15.2,10.9,197757.0,48.03723880148039,9.84495477119718,83
Carbondale-Illinois,51.3,24.7,37.73,89.22,94.1,27.4,43.1,25083.0,51.41153807831545,23.46474476070278,49
Champaign-Illinois,53.1,27.2,40.11,88.26,93.0,30.8,26.2,88909.0,65.69939477126134,14.232075631213291,94
Chicago-Illinois,48.7,35.2,41.84,87.68,85.7,17.5,16.4,2693976.0,40.37896499781026,8.334977645377236,100
Joliet-Illinois,48.2,35.4,41.53,88.11,86.2,7.8,9.7,147344.0,54.02547375878151,6.848692366727669,65
Naperville-Illinois,49.2,40.5,41.75,88.16,97.2,31.7,3.7,148449.0,28.45121296857755,13.191169606205094,70
Peoria-Illinois,48.0,36.5,40.72,89.61,91.6,15.1,17.9,110417.0,45.65669673018971,16.453612448657864,74
Rockford-Illinois,48.5,36.7,42.27,89.07,84.8,9.0,23.8,145609.0,47.68784756795567,18.65064043946814,89
Springfield-Illinois,47.0,40.1,39.78,89.65,91.4,13.0,16.8,114230.0,45.268275390575546,21.30757349403692,70
Bloomington-Indiana,49.0,23.7,39.16,86.53,96.4,30.2,33.2,85755.0,69.705886616319,12.281299375244611,100
Evansville-Indiana,47.7,36.7,37.98,87.55,88.1,6.8,19.5,117979.0,46.93410794477554,22.852150492757495,94
Fort-Wayne-Indiana,48.0,35.4,41.08,85.13,88.3,8.9,12.9,270402.0,46.253753563598806,24.72497319385696,40
Hammond-Indiana,47.4,41.2,41.61,87.49,82.5,3.0,17.7,75522.0,44.524551163798755,19.800808459592144,71
Indianapolis-Indiana,48.3,34.3,39.79,86.15,86.7,11.2,15.8,876384.0,57.58479421469948,15.866737953470968,90
Muncie-Indiana,48.2,30.2,40.19,85.39,92.7,12.1,32.4,67999.0,70.40732210995063,14.482752759813378,69
South-Bend-Indiana,48.4,34.7,41.67,86.26,85.7,12.5,26.0,102026.0,34.467708883569166,10.327387976668128,70
Terre-Haute-Indiana,51.3,32.7,39.47,87.39,85.1,9.1,26.4,60622.0,67.32252800237372,16.130109042355908,90
West-Lafayette-Indiana,54.0,21.9,40.44,86.91,95.9,44.8,38.5,50996.0,67.31681907628197,11.407570320638962,85
Ames-Iowa,53.5,25.0,42.03,93.63,97.7,29.2,24.2,66258.0,50.90460342632508,15.895334033191128,94
Cedar-Rapids-Iowa,48.4,36.7,41.98,91.67,92.2,9.2,15.6,133562.0,47.17364339617282,13.816480925643623,97
Davenport-Iowa,48.9,38.0,41.54,90.59,90.5,9.0,15.7,101590.0,51.943422263109476,11.624219241756647,98
Des-Moines-Iowa,49.0,35.2,41.59,93.62,87.6,8.3,15.5,214237.0,55.00603752554337,12.498142299832807,96
Dubuque-Iowa,48.9,37.8,42.5,90.69,92.3,11.4,15.9,57882.0,31.624187158980494,5.993401172413057,100
Iowa-City-Iowa,47.0,28.4,41.66,91.52,97.1,32.0,25.9,75130.0,64.64143274094222,7.810852523647255,100
Sioux-City-Iowa,49.9,35.1,42.5,96.4,83.6,6.2,14.0,82651.0,40.86148847042242,16.797165563950987,79
Waterloo-Iowa,49.9,36.3,42.49,92.35,90.3,7.0,16.3,67328.0,45.73117705393241,11.119841330383707,71
West-Des-Moines-Iowa,49.5,39.2,41.57,93.75,95.0,17.9,4.1,67899.0,55.00603752554337,12.498142299832807,100
Emporia-Kansas,47.8,29.0,38.41,96.19,85.5,11.5,20.5,24598.0,55.945384387058475,15.132086672603146,63
Hutchinson-Kansas,49.6,39.1,38.07,97.92,88.0,7.5,14.4,40383.0,47.08654338019873,25.434422036551908,61
Kansas-City-Kansas,49.6,33.4,39.11,94.68,79.4,7.4,22.2,152960.0,50.95457287070252,15.600774578584806,68
Lawrence-Kansas,48.9,28.4,38.96,95.25,94.0,20.3,17.7,98193.0,68.79522855647592,10.053597531265227,86
Manhattan-Kansas,50.6,24.5,39.19,96.59,95.5,25.0,26.3,54604.0,64.93707375377909,12.858046825564227,81
Olathe-Kansas,48.9,35.0,38.88,94.8,94.2,17.5,6.3,140545.0,45.47952052541535,18.320993643635642,71
Overland-Park-Kansas,49.6,37.8,38.94,94.68,97.1,25.0,3.8,195494.0,45.47952052541535,18.320993643635642,93
Topeka-Kansas,47.8,39.1,39.04,95.69,92.0,10.0,11.5,125310.0,52.51891150651365,15.757528072206547,93
Wichita-Kansas,49.2,35.3,37.69,97.34,89.0,10.7,14.2,389938.0,48.94846146900364,20.95211341085349,72
Berea-Kentucky,49.1,30.8,37.58,84.29,86.2,11.3,19.8,16026.0,61.229437020599164,28.994403975107335,35
Bowling-Green-Kentucky,49.2,27.1,36.98,86.44,84.7,13.3,23.3,70543.0,45.83274746906636,39.74708239595051,20
Covington-Kentucky,49.3,36.7,39.07,84.51,84.3,8.6,23.1,40341.0,51.45504633107939,14.32319058352116,96
Frankfort-Kentucky,46.9,38.6,38.2,84.86,88.2,11.4,16.3,27755.0,42.765547326772854,39.381150451455824,66
Louisville-Kentucky,47.3,35.8,38.23,85.75,76.1,8.7,24.4,262764.0,45.243396267150274,24.308456664183858,100
Morehead-Kentucky,45.3,22.8,38.18,83.44,87.1,19.0,31.9,7562.0,80.11400162859469,12.874469635280503,55
Owensboro-Kentucky,47.1,38.1,37.76,87.12,88.4,8.9,21.7,60131.0,30.114012580698564,41.73046681013077,18
Alexandria-Louisiana,48.5,38.9,31.29,92.46,84.5,11.0,24.4,46180.0,29.18252756186699,44.69695242871145,28
Baton-Rouge-Louisiana,47.8,33.8,30.46,91.14,88.7,12.7,23.7,220236.0,32.53735480074789,27.477730245745402,53
Lafayette-Louisiana,46.9,37.6,30.21,92.03,90.9,13.4,18.6,126185.0,23.536181389849173,15.168022096056468,14
Lake-Charles-Louisiana,46.3,37.6,30.21,93.21,85.3,10.9,26.7,78396.0,29.67401228419655,26.752365537848604,12
Metairie-Louisiana,48.4,40.6,30.0,90.18,91.7,13.2,15.1,130427.0,46.05018587360595,13.239101888327879,26
Monroe-Louisiana,47.1,34.0,32.51,92.09,84.3,9.7,36.8,47294.0,37.2495446265938,41.81693989071038,12
New-Orleans-Louisiana,47.2,38.3,29.97,90.06,87.6,18.0,23.2,390144.0,44.27811499320883,9.623679212631862,100
Shreveport-Louisiana,46.8,36.1,32.47,93.77,86.0,9.9,26.2,187112.0,35.67727841423859,36.93547058662033,77
Auburn-Maine,48.2,41.1,44.09,70.24,90.9,10.8,11.3,23414.0,65.22905795621251,5.926538040147816,49
Augusta-Maine,49.2,46.8,44.32,69.77,89.5,7.9,18.8,18697.0,68.0297336902686,4.771962570916325,52
Bangor-Maine,48.0,38.5,44.81,68.78,93.4,14.7,18.9,32262.0,75.92627482572455,4.88750868940964,58
Brunswick-Maine,48.8,44.2,43.91,69.95,93.0,21.5,11.3,15175.0,71.50890746039748,4.262729254386277,39
Lewiston-Maine,48.3,40.8,44.1,70.19,85.8,6.7,18.1,36225.0,65.22905795621251,5.926538040147816,56
Orono-Maine,52.3,22.0,44.89,68.67,95.1,36.3,38.0,9474.0,75.92627482572455,4.88750868940964,32
Portland-Maine,47.1,37.2,43.67,70.27,90.8,21.3,12.0,66215.0,71.50890746039748,4.262729254386277,96
Scarborough-Maine,46.8,47.8,43.59,70.33,96.5,18.4,5.1,4403.0,71.50890746039748,4.262729254386277,61
South-Portland-Maine,47.6,42.2,43.63,70.27,96.0,16.7,8.8,25532.0,71.50890746039748,4.262729254386277,71
Annapolis-Maryland,48.6,37.5,38.97,76.5,87.4,22.4,11.0,39223.0,61.88138884342405,8.266624012379662,79
Baltimore-Maryland,46.9,35.9,39.31,76.62,85.7,15.7,20.2,593490.0,52.67335629773851,14.257900254605364,95
Bowie-Maryland,47.2,43.5,38.96,76.74,95.4,23.3,3.2,58643.0,54.433415950522345,20.774825693173657,60
College-Park-Maryland,51.0,22.0,39.0,76.93,85.9,24.4,26.7,32163.0,54.433415950522345,20.774825693173657,100
Columbia-Maryland,48.9,38.6,39.2,76.86,95.5,33.3,7.3,104726.0,56.94933556263825,11.635229984151035,100
